,ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster
1013,BU01144500,3.958126247,3.959383164,3.988209239,4.018251713,3.993677699,4.067734629,4.053538639,4.077610754,4
1014,BU01144600,3.882033928,3.891752172,3.897852552,3.936861809,3.981600235,3.988854798,3.978092405,3.998500037,3
1015,BU01144700,4.039832716,4.044936226,4.045060385,4.071535669,4.081141794,4.102623968,4.096541356,4.135102536,4
1016,BU01144800,4.146563027,4.146457397,4.14515225,4.123738951,4.120153119,4.176238374,4.186124279,4.202174511,1
1017,BU01144900,3.688096229,3.706311639,4.20515645,4.178490254,4.119220563,4.12967876,4.091452784,4.107663044,4
1018,BU01145000,4.072732688,4.093783459,4.106369547,4.135840212,4.164811105,4.119070109,4.118564277,4.1327672,1
1019,BU01145100,4.218750762,4.219752145,4.225084117,4.268924937,4.287935963,4.246809099,4.248983402,4.233152637,2
1020,BU01145101,4.513460809,4.43194206,4.413538322,4.409937198,4.471404198,4.394276949,4.356534082,4.401007955,0
1021,BU01145109,4.104814513,4.116904485,4.174846367,4.211033714,4.201416239,4.212260788,4.220723475,4.201448587,1
1022,BU01145200,4.30352268,4.332124316,4.323288364,4.327703263,4.320513549,4.340779348,4.330121698,4.31722371,2
1023,BU01145201,4.25285684,4.220647427,4.217299293,4.296146638,4.297078347,4.317545085,4.272209369,4.277139097,2
1024,BU01145300,4.246886731,4.244862472,4.263691477,4.2966358,4.27758447,4.221448353,4.158005189,4.14003299,2
1025,BU01185000,4.043184742,4.082464026,4.053177492,4.067008174,4.077548504,4.126424962,4.133936603,4.102110319,4
1026,BU01185001,4.134811028,4.123791288,4.157089963,4.164889374,4.143935719,4.182753164,4.204645485,4.21034061,1
1027,BU01185002,4.079460623,4.123968738,4.154971745,4.171958893,4.180692716,4.28215548,4.25640882,4.221948289,1
1028,BU01185003,3.857549841,3.89723919,3.91826026,3.928074883,4.00073888,4.015029066,4.025669487,4.002511317,4
1029,BU01185004,4.015881584,4.020015525,4.040044961,4.025358773,4.045003772,4.101814602,4.08927363,4.082402278,4
1030,BU01185005,4.014566566,4.001792119,4.036014136,4.025887949,4.026499859,4.08740918,4.116658825,4.105288577,4
1031,BU01185006,4.117133573,4.106960247,4.127692398,4.114943818,4.111847271,4.14129307,4.188719731,4.153225556,1
