ID,lbm_2002,lbm_2008,lbm_2012,lbm_2014,lbm_2016,lbm_2018,lbm_2020,lbm_2022,cluster,2002-2008,2008-2012,2012-2014,2014-2016,2016-2018,2018-2020,2020-2022
WK177418,4.298543408,4.275453839,4.259712101,4.273498344,4.291099902,4.293295027,4.265672695,4.275616114,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK177419,4.214262182,4.217210269,4.247780642,4.244131614,4.252616237,4.255882246,4.267894629,4.286724711,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK177420,4.236453091,4.228249465,4.274707224,4.289441419,4.334235002,4.306890944,4.299483817,4.330588038,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK177421,4.144240492,4.209684044,4.244915401,4.269085531,4.326753474,4.304556885,4.340037021,4.348759303,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK178301,4.052673548,4.052369509,4.084313149,4.076743703,4.105821893,4.109282701,4.127105421,4.135982711,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK178302,4.117253547,4.110208583,4.111518888,4.068066096,4.098113397,4.121464935,4.116599307,4.115590191,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK178303,4.099289278,4.10002835,4.086794914,4.10100203,4.095268316,4.087099617,4.122490639,4.112144487,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK178304,3.992274538,4.02507761,4.038313241,4.079840091,4.120871547,4.138120205,4.159004457,4.153587532,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK178305,4.132786341,4.090821544,4.110844201,4.145379884,4.16507973,4.166208618,4.165588314,4.159064971,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK178306,4.076281706,4.097444327,4.104414508,4.129844268,4.144450503,4.163406028,4.184521356,4.188125816,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK178307,4.023050089,4.067901795,4.083318385,4.091387785,4.08682066,4.085483294,4.112970147,4.113158919,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK178308,4.077431097,4.060079052,4.0855194,4.096953235,4.121108548,4.151898195,4.173786259,4.188847405,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK178309,4.131536986,4.078665483,4.094508174,4.114880199,4.098884241,4.114214102,4.107870241,4.121123632,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK178310,4.155151839,4.144935836,4.153892327,4.265196748,4.215466138,4.186771115,4.235994425,4.181219608,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK184200,4.127194935,4.153283068,4.152978343,4.204274135,4.24016542,4.224940931,4.231896134,4.248626172,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK184201,4.154782751,4.14340591,4.162329633,4.240135226,4.236872966,4.202970547,4.228521884,4.234023993,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK185900,4.11086382,4.107429557,4.137627492,4.138493897,4.151581341,4.143034031,4.133543154,4.156216811,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK185901,4.067971339,4.099075023,4.123981111,4.134164213,4.123667286,4.154427808,4.162598297,4.16727912,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK185902,4.185672111,4.1664232,4.167877047,4.163748282,4.199939026,4.212592857,4.22080704,4.220889956,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK185903,4.111774065,4.110406716,4.135965075,4.115661676,4.12366469,4.126447506,4.109746874,4.131718806,3,-0.24088334214724494,-0.09455228217386161,-1.0883514705396635,-0.40930563522749486,-0.6645223318977191,-0.7153142894045985,-0.7216230840175625
WK185904,4.170152219,4.193126785,4.192238818,4.179509639,4.209381091,4.204802612,4.218389211,4.207555348,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK187600,4.103471827,4.104483331,4.109373757,4.148461525,4.158796161,4.186057507,4.187044065,4.171868086,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK187601,4.078051345,4.080852436,4.084322146,4.13334987,4.137233061,4.147831977,4.14935615,4.145010631,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK187602,4.193306698,4.177522027,4.18249742,4.212107219,4.226333229,4.250065041,4.257515847,4.240161543,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
WK187603,4.144267932,4.103321458,4.113101992,4.166086281,4.165252566,4.168222347,4.149593639,4.160407586,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK187604,4.201741099,4.169134206,4.182403646,4.195310134,4.211771122,4.198842931,4.178984921,4.193209687,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK188300,3.76979075,3.917524457,3.932741748,3.961521258,3.952510633,3.97908958,3.999706186,4.008433111,1,0.614151058387212,0.4510378429115213,0.6383145628479032,0.7660180016247822,0.5707976176371208,1.167692605825072,0.8142266553815574
WK188301,4.112987467,4.098451953,4.112513236,4.103980065,4.107043825,4.112867375,4.117123192,4.131778763,4,-0.2822912618302014,-0.39978268888711016,0.12227790128428379,0.19375299722372308,-0.08309852105029897,-0.5166448590559003,0.05114639143159938
WK188302,3.989390512,3.945820663,3.99635362,3.983964186,3.981547175,4.01290394,4.01313071,4.009444317,2,-0.07794298439871941,-0.1822549801800734,-0.09412239657701535,-1.137194774929734,-0.14972063618768428,-0.29660765477258144,-0.6011155405492434
